DATE,SP57BOND,,,,,,,,
9/7/10,441.92,,,,,,,,
9/8/10,440.65,,,,,,,,
9/9/10,438.31,,,,,,,,
9/10/10,437.54,,,,,,,,
9/13/10,439.3,,,,,,,,
9/14/10,441.14,,,,,,,,
9/15/10,440.43,,,,,,,,
9/16/10,439.68,,,,,,,,
9/17/10,440.45,,,,,,,,
9/20/10,441.57,,,,,,,,
9/21/10,444.57,,,,,,,,
9/22/10,444.72,,,,,,,,
9/23/10,445.01,,,,,,,,
9/24/10,443.85,,,,,,,,
9/27/10,446.09,,,,,,,,
9/28/10,447.26,,,,,,,,
9/29/10,446.6,,,,,,,,
9/30/10,446.49,,,,,,,,
10/1/10,446.84,,,,,,,,
10/4/10,447.98,,,,,,,,
10/5/10,448.54,,,,,,,,
10/6/10,449.81,,,,,,,,
10/7/10,450.33,,,,,,,,
10/8/10,450.85,,,,,,,,
10/12/10,450.11,,,,,,,,
10/13/10,450.55,,,,,,,,
10/14/10,448.87,,,,,,,,
10/15/10,448.21,,,,,,,,
10/18/10,450.01,,,,,,,,
10/19/10,450.57,,,,,,,,
10/20/10,450.66,,,,,,,,
10/21/10,449.25,,,,,,,,
10/22/10,449.03,,,,,,,,
10/25/10,448.61,,,,,,,,
10/26/10,446.51,,,,,,,,
10/27/10,444.78,,,,,,,,
10/28/10,447.4,,,,,,,,
10/29/10,448.98,,,,,,,,
11/1/10,449.03,,,,,,,,
11/2/10,449.69,,,,,,,,
11/3/10,451.34,,,,,,,,
11/4/10,453.73,,,,,,,,
11/5/10,452.29,,,,,,,,
11/8/10,452.01,,,,,,,,
11/9/10,449.02,,,,,,,,
11/10/10,450.19,,,,,,,,
11/12/10,446.58,,,,,,,,
11/15/10,442.68,,,,,,,,
11/16/10,444.14,,,,,,,,
11/17/10,443.54,,,,,,,,
11/18/10,442.43,,,,,,,,
11/19/10,442.43,,,,,,,,
11/22/10,444.46,,,,,,,,
11/23/10,445.21,,,,,,,,
11/24/10,441.6,,,,,,,,
